SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA,Bertz,Whitlock,Barone,TWC,SMCM,Bottcher,Spacial
C1#CCn2cccc2C=CC=C1,3.5023589820067085,1.6040751943826674,5.618047164860292,0.9999997615814208,2.8320673841169963,5.046144632327196,-1.7021484375,-69.92948035248229,382.62687851022554,17,297,4.924403352476639,21.482,132.8007435851896,164
CC=CC=Cc1ccc(C)n1CC,3.50877065372467,1.5970922006607051,5.603830244970834,0.9998457431793212,2.9383598439271097,3.01656667308575,-2.47265625,-9.238676094350344,315.86550926671146,9,219,5.344105269395615,21.149,132.460893582305,123
Cn1cc(N)cc1C=CC=CC=N,3.500814731893085,1.4384361451438494,5.035698447807087,0.4832417070865631,2.8574984443735207,3.7015743653934408,-4.7734375,-27.147457084604238,345.0518734187486,13,234,5.267174075934409,21.732999999999997,151.25838096618136,117
C1=CCn2cccc2C=C1,3.53388145647049,1.405534868482749,4.966993608153875,0.9999902248382568,2.2658052273614224,3.503033982060129,0.5361328125,-39.72044939872686,278.6733024843429,13,231,4.176785574922036,18.149,116.8007435851896,148
C=CC=Cc1cccn1C=N,3.5336560419287,1.345581504750252,4.75482221416824,0.999875783920288,2.727029746208504,3.955636068307156,2.1640625,-39.1895358489893,281.5077693404795,12,201,4.4604467838807205,16.727,121.61452477640667,96
C=CC=Cc1cccn1C,3.517228329229355,1.3457335047602654,4.7332520065359125,1.0,2.7152642424232414,3.0338303556865025,1.2939453125,-7.193598438299508,242.9858743366007,9,180,4.037107632667927,16.149,104.63081858374731,89
C=C=CC=Cc1cc2ccn1c2,3.5403059933980305,1.3299198389132818,4.708323176443635,0.978593111038208,2.9336104733471853,5.181007474536161,-5.21484375,-38.36656850455704,441.48135569894816,17,273,5.098595275921422,21.697,134.97066858663194,134
[B]NC(C=CC=Cc1cc(F)c[nH]1)NN,3.621829197704225,1.2917668209605746,4.678558788780575,0.00149233546108,3.4148360593740708,4.981526299613386,-3.552734375,-22.03786025620548,343.6364728295217,16,258,5.891056066277643,26.152,179.75759112596396,178
Cn1ccc(N)c1C=CC=Cc1c(N)ccn1C,4.07879674539566,1.0939895906618662,4.462161181888351,0.9999997615814208,2.4956916728127885,3.6212548106073,-3.708984375,1.5320501150892831,506.0877429142441,16,354,7.430284537589976,30.309999999999995,115.9348247706373,182
OCC=CC=Cc1cc2ccn1c2O,3.626396802632014,1.2293779184398197,4.458212152656563,0.6100810170173645,3.2591325543348373,4.195930015303977,-3.751953125,-12.940567337974931,467.83042687675953,17,291,6.01771889967771,26.291,175.14059358807424,163
C=CC=Cc1cccn1CCCCCCCCC,3.614696006186803,1.2021523121237756,4.345415161462043,0.9999994039535522,3.0788819396288223,2.561833177471204,-4.03125,25.04591125363165,346.2469947608207,9,252,7.074011592507312,31.149,156.63081858374733,185
N=Cc1cc(N)c2n1CC=CC=C2,4.09053028730665,1.05965117309207,4.3345352175131335,0.0761410295963287,3.0650416652811567,4.1138260285951045,-2.798828125,-66.6373071061933,396.5475116935425,17,291,5.576884742199667,22.732999999999997,168.9185309632968,180
OB(O)n1c2ccc1cc2,5.421712685818986,0.79332865375621,4.301200026093742,0.9994699358940125,1.4069806231774211,4.467322422660979,5.98828125,6.288983576084087,281.9291399554536,12,228,4.3805549221542135,15.738,82.3924621516291,110
Cc1c2ccn1cc2,5.66079007320404,0.719918190942208,4.075305748804661,1.0,1.986918680509756,3.5537524756458225,2.390625,20.30236091346243,233.84773883393586,9,198,3.4868553552769432,14.197,71.13733738676102,89
N=c1cnc2cc(C=C3C=CC=N3)n1c2,3.614144718260992,1.1161101306756338,4.033783533778927,2.532728649384808e-05,3.5256514504316483,4.87729926170247,-5.93359375,-46.356990378625845,631.4775180048539,26,375,6.449615839740416,27.833999999999996,202.5656433543847,232
C#Cn1cccc1C=C1C=CC=N1,3.6536750513599032,1.1023563923756283,4.027652048529942,0.1863058358430862,2.671732592893256,3.9214790212638864,-0.939453125,-27.902551177869896,424.90049014824405,20,297,5.390567743430842,21.917,144.70926228145473,173
C=Cn1c(C)ccc1C=C1C=CC=N1,3.687925102869669,1.086136926647027,4.005591636935284,1.863705983851105e-05,2.4816406868709646,3.6990071241536766,-2.095703125,-41.41453524844797,430.8868280197361,18,297,5.870802313506677,23.084,154.12429978073357,191
Cn1cccc1C=C1C=CC(N=N)=[N+]1B(F)F,3.6923570557480767,1.084565195886294,4.004601953449553,0.0259424783289432,3.1405194679849875,4.601118954999313,2.41015625,8.237896575434263,542.2557269898854,23,351,7.202172507773729,27.849000000000004,215.36122634884808,245
C=Cn1cccc1C=C1C=CC=N1,3.6861771027247103,1.086136926647027,4.003693069430059,0.0054951813071966,2.4946700439475875,3.6980276042598383,-0.6064453125,-36.36028301495588,391.4796989129837,18,279,5.390567743430842,21.084,142.4641497836182,178
C=C(C)n1cccc1C=C1C=CC(N)=[N+]1B(F)F,3.717126440620422,1.076308529206117,4.000774892177335,0.3876340091228485,3.1544993496215152,4.580442427561774,1.3447265625,0.2185425714475746,581.8979240873454,22,366,7.625413469281571,28.833000000000002,247.22808104527462,257
C=Cn1cccc1C=C1C=CC=[N+]1B(F)F,3.692309101835886,1.0773963938275974,3.978080511214799,0.143700361251831,3.1177080116375926,4.703406936886793,1.212890625,-14.18701917000999,497.83777004465617,21,327,6.7083723686268515,24.826999999999998,221.26392486126912,222
