SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA,Bertz,Whitlock,Barone,TWC,SMCM,Bottcher,Spacial
N=S([SH]=C(F)C1=CC2(Cl)C(=C1)PN2O)[SH](O)NPN1ONN[PH]1PC1=CC=C1,2.46429267226855,0.6121123337422809,1.508423938646304,2.7167221597346192e-11,4.995355596056643,3.282563194452801,-7.4609375,-154.9586159254196,864.2620532701314,62,606,12.094657823274476,59.474000000000004,489.5755775693132,942
FON1PPC2=CC(C(F)[S](Br)[SH](OP)N3NPN[PH]3C3=CC=C3)=CC21Cl,2.5407049366315206,0.5839136666711421,1.483552335477983,6.842795427508541e-12,4.654964568054796,3.3949119168115782,-7.1015625,-141.74313678049327,756.3799126081254,57,555,11.76961999943473,59.321,494.4111378675752,980
N=S(P)[SH]=C(F)C1=CC2(Cl)C(=C1)PN2NN(F)PPN1ONN[PH]1C1=CC=C1,2.5735619957288103,0.5691297314802806,1.4646906475769927,3.820556067693493e-13,4.824119624872699,2.637326507172581,-8.34375,-149.20858733992648,862.0204783499453,62,594,12.210796865356564,59.872,490.1381497900932,897
N=S(CN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH][SH](P)[SH]S)=CC21Cl,2.515924335082372,0.589600732455651,1.4833908307675634,4.1500246901826437e-16,4.220634728508543,2.3155273649712718,-7.12109375,-139.55896220577327,843.209997823708,58,597,11.897830560241603,55.422999999999995,488.3220809051016,906
N=S(N1PPC2=CC(C(F)=[SH][S](F)F)=CC21Cl)[SH](P)N1ONN[PH]1C1=CC=C1,2.418069060389201,0.6045716666246455,1.4618960418529898,2.387236153927105e-15,4.163105355601758,3.930573604899716,-7.55859375,-138.3885034951658,877.9985039275265,62,615,12.262360035200864,58.934,487.7342781330932,960
N=S(NPN1ONN[PH]1C1=CC=C1)[SH](P)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.47957439549764,0.6246516652320823,1.5488702752144343,5.2316590187610756e-14,4.635832247749668,5.253602199227073,-5.9140625,-152.70261154443313,895.4971277756312,63,621,12.721388263977783,60.083,502.58903110536653,948
N=S(P)[SH]=C(F)C1=CC2(Cl)C(=C1)P[N+]2S(=N)CPN1ONN[PH]1C1=CC=C1,2.459741669034958,0.5790467308575908,1.4243053722088863,7.360431708569593e-11,4.520621624836799,1.923455739084769,-7.03125,-131.2627190024544,884.1631746192086,62,594,11.861696220211215,56.731,511.5946530525576,899
FC(=[SH][S](P)[SH](CP)N1ONN[PH]1C1=CC=C1)C1=CC2(Cl)NPPC2=C1,2.489244668722153,0.6051320673425993,1.50632177250538,1.620095377297126e-11,4.592323084802837,1.0,-8.875,-142.4509276956678,770.1134993780303,57,567,11.170402599195265,56.519000000000005,454.9822309022169,883
N=S(Cl)[SH]=C(F)C1=CC2(Cl)C(=C1)P[N+]2(OPSN1ONN[PH]1C1=CC=C1)PCl,2.4668146624565126,0.6195562364902525,1.5283304083905296,6.29282448372237e-09,4.914310908627884,1.0,-5.1796875,-124.53767734823296,881.2436164253631,62,600,12.514884404955001,59.515,551.3199002269322,1020
N=S([SH]=C(F)C1=CC2(Cl)C(=C1)PN2OF)[SH](O)CPN1ONN[PH]1POC1=CC=C1,2.4660410065174108,0.6021432387825278,1.4849099186349186,9.700692474033158e-16,4.3977808439131305,3.090117599918366,-8.28125,-177.62944577685343,900.8880644589407,63,627,12.959214837751196,63.193,537.7522000410903,962
N=S([SH][SH](PF)N1ONN[PH]1C1=CC=C1)[SH]=C(F)C1=CC2(Cl)C(=C1)PN2OF,2.4315443386554723,0.5937076672439774,1.44362651710344,4.561972761357724e-12,4.656596803033109,1.4657097996742516,-7.76953125,-154.6306754297849,866.1621878000217,60,612,12.190441092643256,57.788,514.5189129786505,930
FON1PPC2=CC(C(F)=[SH][SH](P)[SH][S](OCl)N3ONN[PH]3C3=CC=C3)=CC21Cl,2.6041842696348825,0.5910200681552291,1.539125164528384,7.981341587257832e-15,4.4419694774143625,5.154230646213591,-9.1484375,-151.74301058531034,844.7673041629781,59,615,12.488067247991301,59.241,521.1481034617414,940
N=[PH](N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl)[SH](CF)[SH]1(CP)NN[PH]1C1=CC=C1,2.586515738328298,0.5638771315604448,1.4584770752645069,1.2524593382269404e-15,4.746601399284764,1.6890178809393177,-12.2265625,-142.29523362788134,916.3310990577385,59,618,13.00482446908681,58.465,526.1408728706135,989
BN(PN1ONN[PH]1PC1=CC=C1)[SH](O)N1PSC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.4507516736189525,0.5847159325515231,1.432993550292312,5.124157608643598e-12,4.992915393690996,2.6589575908310934,-8.53125,-150.22441554195603,877.5178553528278,60,624,13.001467279005318,59.337999999999994,528.108818376725,957
CP[SH](NPN1ONN[PH]1C1=CC=C1)N1PC2=CC(C(F)=[SH]S(=N)F)=CC21Cl,2.4782983364423115,0.6069776650816202,1.504271737629418,5.420295288993682e-13,4.958098840340833,1.4895185976683312,-9.1484375,-147.02702483151674,862.1824739161585,61,603,12.30196771269273,58.802,518.2491811024818,942
O[SH](SNPN1ONN[PH]1C1=CC=C1)[SH](O)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.50769101190567,0.6358269986584782,1.5944576496628244,4.706875080667805e-12,4.649284971891394,4.4901296440369,-5.7890625,-140.37230191788947,874.398439874064,60,630,13.12625495092386,60.23900000000001,513.4907937359133,979
N=S(P)[SH]=C(F)C1=CC2(Cl)C(=C1)P[N+]2(OOO)PPN1ONN[PH]1C1=CC=C1,2.4913740011533103,0.5789657318169873,1.442420171807542,7.599304865935075e-12,4.5957708223414855,3.860022427613229,-7.63671875,-136.38273639207188,879.1437509552533,64,600,12.55828359691761,61.192,500.80114005849583,1020
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)S[SH](F)SNNP1PN[PH]1OO,2.361435109145714,0.9012990131619908,2.12835913351911,8.097225112635442e-09,4.278825926810757,3.160920116996877,-5.66015625,-106.48302966391486,562.9400220412219,49,492,11.117775770518818,50.592,440.1491305646635,828
C=[SH][PH]1NN[SH]1(CO)[SH](O)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.6475236649513247,0.5660380005910992,1.498599001826667,1.166128186014248e-06,4.485579546608898,1.0,-6.08984375,-101.54682468457617,670.8692530262565,48,510,10.830151903730108,45.904,452.2794224280053,851
C[SH]1([SH](NP)[SH](O)N2PC3=CC(C(F)=[SH][S](F)F)=CC32Cl)NN[PH]1C1=CC=C1,2.606337724431356,0.5585096663708488,1.455664812921914,9.545612997957642e-13,4.772306774905834,2.635917528511607,-4.9375,-141.20127133546035,865.327720943885,57,606,12.545689686596784,56.304,507.94958469215237,996
C=S(N1PPC2=CC(C(F)=[SH][S](F)F)=CC21Cl)[SH](F)[SH]1(C)NN[PH]1C1=CC=C1,2.4537633914311723,0.5808482665777207,1.4252642125046655,5.435327752115193e-13,4.2705766357695545,1.0,-9.8125,-128.2555602849973,901.7310632998602,58,612,12.426970908310361,56.211,500.1981384590106,1013
N=S([SH]=C(F)C1=CC2(Cl)C(=C1)PPN2SF)[SH](P)N1ONN[PH]1C1=CC=C1,2.4714806667963667,0.5912536660258969,1.46127200475548,1.7226954238114267e-11,4.52540694386111,2.8478889135531587,-7.76171875,-148.99547833962902,846.408992656445,61,600,11.696777756993779,57.488,493.6164907549861,942
CS(=N)[SH]=C(F)C1=CC2(Cl)C(=C1)PN2[SH](O)S(=N)NPN1ONN[PH]1C1=CC=C1,2.542310671726862,0.6337236661007007,1.6111224392536825,2.9014673151063486e-14,4.867010071211986,2.4682215316990144,-6.5859375,-142.64702934960675,936.1357146936055,64,633,12.721388263977783,59.20700000000001,528.5166838802595,974
N=S(N1PPC2=CC(C(F)=[SH][S](F)F)=CC21Cl)[SH](NO)[SH]1(N)NN[PH]1C1=CC=C1,2.58802406094869,0.5737332841200488,1.484835543869797,3.42199807207256e-15,4.9831347106994,2.580529410071384,-7.86328125,-132.22748827938872,925.5021776344281,61,630,12.873005133686277,57.589000000000006,494.63278456232666,1025
N=S(O)[SH]=C(F)C1=CC2(Cl)C(=C1)PN2[SH](CPN1ONN[PH]1C1=CC=C1)[SH]=S,2.3383716107050576,0.6116626041874289,1.4302944689618082,8.982807275521431e-15,4.994637588556564,1.8927763150900336,-6.63671875,-144.77947795824352,890.6776439338612,63,624,12.30196771269273,57.544,509.3400028130988,929
N=S(N1PPC2=CC(C(F)=[SH][S](F)F)=CC21Cl)[SH](O)[SH]1(NN)NN[PH]1C1=CC=C1,2.624428056462606,0.5827929980233312,1.5294982951223866,3.7471755557707024e-16,4.710827459059114,1.0,-7.5078125,-132.14418082655345,921.5021776344281,61,630,12.885883921761623,57.962,485.6670002776646,1025
O[SH](N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl)[SH](S)NPN1ONN[PH]1C1=CC=C1,2.4662350068092347,0.6270689989427725,1.5464995168774884,5.2486556767483705e-12,4.623058577788993,1.0,-5.44140625,-143.40286564979974,855.7890634779673,59,618,12.721388263977783,58.661,496.5659812323075,967
C[SH](N1ONN[PH]1C1=CC=C1)S([SH]=C(F)C1=CC2(Cl)C(=C1)PPN2OF)=[SH]F,2.3731572760423028,0.661324250940872,1.569426457943556,9.501005884815504e-12,4.703845605392403,1.0,-8.1328125,-135.41907857085127,878.0187900436632,61,624,12.114386382378765,58.013999999999996,494.28333822243644,955
N=S(PN1ONN[PH]1C1=CC=C1)[SH]=C(F)C1=CC2(Cl)C(=C1)PPN2POF,2.537248728752137,0.5722127326915663,1.4518460285974628,1.1080874173959033e-13,4.715742954666959,1.7951380291877852,-10.046875,-146.8576548041101,831.8034244159821,61,585,11.66421389424805,57.400999999999996,485.12976562371813,915
O[SH]([C]1C=C1)=C1P=[SH]1(Cl)S(=P)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.5446283316135405,0.5583290664017201,1.4207399607291546,1.5084827484357355e-11,3.4034842982653712,7.804460220366353,-5.75390625,-121.558744532553,928.7568064298154,55,552,11.394380479638526,48.569,469.04848165472345,861
N=S(N1ONN[PH]1C1=CC=C1)[N+]1PC2=CC(C(F)=[SH][SH](P)[SH]N)=CC21Cl,2.538597671349843,0.5854444659719866,1.4862079580211376,3.2596594312650487e-09,4.754499394936282,1.0,-6.33984375,-123.01893090142885,826.5875129716201,58,588,11.557085169602175,54.105,470.18124365393544,894
O[SH](SCPN1ONN[PH]1C1=CC=C1)[SH](O)N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl,2.509132011175156,0.5992229979783297,1.5035296060597727,3.696479233816774e-11,4.688588542986181,3.635804405647269,-6.12109375,-143.84279794493682,873.1736134923642,59,627,13.12625495092386,60.86500000000001,518.2030813563638,979
FC(=[SH][S](F)F)C1=CC2(Cl)C(=C1)PN2S[SH][SH][SH]P1SNN[PH]1C1=CC=C1,2.510798537556331,0.5629539983928203,1.4134640758761825,2.460721848507319e-09,4.324105911623684,2.1833444573676672,-6.46875,-116.75891223319542,784.3838050096361,53,582,11.76470659333178,50.672,438.18190324705336,883
OOOOOO[SH](NP=CON(F)N1ONN[PH]1C1=CC=C1)NP1PN[PH]1OO,2.502030142124494,0.8701571485884133,2.177159414153312,3.062489064425966e-12,4.481930727334634,7.907627264499134,-8.3046875,-120.7591807711921,613.1770214840215,52,522,11.86058721236016,51.95399999999999,478.0279019175345,842
NC[SH][SH](P)[SH]=C(F)C1=CC2(Cl)C(=C1)P[N+]2[S](N)PN1ONN[PH]1C1=CC=C1,2.4156243325233464,0.5951227325787147,1.4375929536549277,1.18424237430248e-12,4.506964822562903,2.878779927802513,-8.4921875,-136.05085170552428,819.9502307019748,57,594,12.313842430951066,57.423,505.5541557969107,904
N=S(O)[SH]=C(F)C1=CC2(Cl)C(=C1)PO[N+]2PPN(O)PN1ONN[PH]1C1=CC=C1,2.496882741117477,0.5891212366940011,1.4709666483270354,6.988649567905847e-13,4.737094835803584,1.361643427484207,-5.92578125,-129.20972951629213,881.5191274664498,63,612,12.483266321873543,61.265,533.2501496100206,933
N=S([SH]N(S)PPN1SN[PH]1C1=CC=C1)[SH]=C(F)C1=CC2(Cl)C(=C1)PN2OF,2.4641383402665458,0.6200306643421452,1.5278413321464173,2.990800662683313e-11,4.487675384969132,2.727519242980974,-9.1640625,-146.6641935729652,864.0623223299118,60,594,12.165742715152849,55.345000000000006,511.89466539291317,885
N=[S](=N)[SH]=C(F)C1=CC2(Cl)C(=C1)P[N+]2OPPN1ONN[PH]1PC1=CC=C1,2.4752810677528383,0.5768502359223509,1.4278664679073534,1.1539876693111849e-10,4.837535296142673,3.039566400213114,-7.92578125,-123.36608174701036,876.1428885030718,61,582,11.757866874668219,55.747,456.62095912693,854
C[SH](N1PC2=CC(C(F)=[SH]S(=N)CO)=CC21Cl)S(=N)NPN1ONN[PH]1C1=CC=C1,2.4160770712534587,0.6247636652976274,1.5094771666778677,1.4360064015783822e-15,4.875900020087789,2.379727431678038,-7.375,-143.37077810643953,952.7798940161197,64,642,13.139495431900203,61.051,546.5166838802594,986
C=S(N1PC2=CC(C(F)=[SH][S](F)F)=CC21Cl)[SH](F)ON(F)N1ONPN[PH]1C1=CC=C1,2.513636340856552,0.5636556639189522,1.4168253605563053,2.877818968370638e-13,4.885793071353402,1.0,-9.515625,-135.36097749201767,947.2665549624285,62,651,13.572878872956155,62.149,563.9148163993015,1002
