SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA,Bertz,Whitlock,Barone,TWC,SMCM,Bottcher,Spacial
[B]n1c(C=C2C=CC=N2)ccc1NN,3.67431838360968,0.7586223997910819,2.7874202297704644,0.0001065137403202,2.9398285817684187,4.249561354922907,-0.392333984375,-31.999768730777163,414.0203958239807,19,297,5.862957423111163,23.468000000000004,167.72947188322655,191
C=c1c(CC)nc2c(C)c3c4c1c2n3BO4,4.8459571967283885,0.5247159997870525,2.542751275406599,0.3574422001838684,4.149001758275725,5.541565404428973,-8.265625,-1.8828315826748736,774.2927826880481,24,432,7.4809245775566415,29.316,261.2309213165619,240
CNC12NOOC1C(C)=C(O)c1[nH]c3c(O)cn(B(F)F)c3c12,4.472252523390453,0.5758809585518072,2.5754850700558327,2.7824755761685083e-06,4.618460345405717,5.621193378409849,-10.109375,-44.6205924635492,847.8333261148259,33,522,10.559139686244464,46.11,367.59423712253164,614
C#CC1=C(C)C(=Cc2cccn2C=O)N=C1C,3.53116713319506,0.7577866690913836,2.6758713798688545,0.0099260574206709,3.0996746649197537,3.8060698551629777,-4.3203125,-5.484581471597613,606.4118801514338,23,372,7.215296708111163,28.589,184.388962287224,249
Cn1cccc1C=Cc1occ[n+]1C,3.5969670492331183,0.7756933350582917,2.79014336651442,0.9094370007514954,1.8611446566794296,3.642192893384446,4.65234375,31.39003022729239,409.0580908755627,13,291,5.778703900244812,18.761000000000003,203.412012160283,142
NC1=C(F)C2=Cc3cccn3[B][N+]2=C1,3.6128453331311534,0.7271803999185562,2.627190314190201,0.7026719450950623,3.2965285234654638,4.9897490472306,2.052734375,-18.72393296347876,509.8816726598286,23,357,6.172221296584456,24.696999999999996,244.84725926133365,257
FBn1cccc1C=C1N=C2CCC3=CC1=C2C3,3.581251797993978,0.7226757339974245,2.588083771744894,1.3522057997761294e-06,3.75358969800098,5.366360675632783,-7.26953125,-32.76888729401038,661.0887979797146,28,447,7.939937905330899,32.524,214.56117498244083,363
NNC1=[N+]2[B]n3cccc3C=C2C=C1,3.658038125969115,0.7333760675430299,2.682717615745704,0.99954092502594,3.176583952942751,5.077293718900393,2.8828125,-7.354703930131654,480.75632411298767,23,348,6.129413376395636,23.467999999999996,226.1983337018806,243
NC1(O)C=CC=Cc2cccn2[B]N1,3.790307158311208,0.6915198671559494,2.6210727025956104,0.2967392802238464,2.641564761917121,5.38115211214624,0.92236328125,-36.91435310871988,381.16371515371384,19,303,5.827750405980246,26.201999999999998,208.60661513544096,362
N#COc1ccc(C=C2CC=C=N2)n1B(N)N,4.085441005071004,0.6714625563587461,2.7432206611178214,0.0006033708923496,3.093400708037336,5.359032927994402,-3.130859375,-55.84001757435305,559.7416550303437,25,366,7.155413019209128,25.107999999999997,223.76024632954264,215
FB(F)[N+]1=CC=CC1=Cc1[nH]c2cc1ON2,3.569892315224238,0.8526426361818162,3.043842394538001,0.0006665514665655,3.163565264076178,5.913490613990272,-0.56103515625,-29.269465613195685,532.8564476980799,25,381,6.8935959996598974,25.166,261.70201223360704,254
Cc1ccc2c(NO)c3c(n12)=C=CC=C3,4.19669929936438,0.6752723347246646,2.833914934019149,0.0023681204766035,3.136344890622664,4.265116660843274,-6.3125,-72.30545773025713,657.6464626929545,21,378,6.718928632059805,27.31,202.39246215162922,194
Cn1cccc1C=CC1=C2CCC(=C1)C2=N,3.562120065021515,0.7784183995564778,2.7728198000420647,0.4328002035617828,3.479308060050137,4.404798640746124,-3.486328125,-22.59157227194709,553.0454017500824,22,369,6.913857809234716,29.227,180.27467477352204,289
C#CC=Cc1ccn2cnccc12,4.345133745352427,0.6510488045771917,2.8288941306397133,0.9999901056289672,2.90157899050604,3.4356029079035637,-2.892578125,10.6989634265793,486.0047424121395,16,303,5.494360556657196,18.320999999999998,158.3531184712295,123
C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,3.6964816069444018,0.7481337345282236,2.7654625892182043,0.0309263225644826,3.0647943074604864,4.67916118085856,-6.54296875,-66.07819704491124,506.01203717431883,20,318,6.947144128379739,27.904000000000003,194.12429978073365,148
C#Cn1cccc1C(C#N)=C1C=C(N)C=N1,3.582434695625305,0.924821539046367,3.313112768741298,0.0005108377663418,2.823965978149528,4.278822321502179,-2.376953125,-14.235105698876009,599.6986557460036,26,375,6.775618602327456,28.358,194.82704965956188,210
CC=CC(C)=Cc1cccn1B(F)CO,3.97646238492784,0.6523584654370945,2.5940788992998547,0.0257391277700662,2.8805202468783744,4.2106528186163,-1.8251953125,-5.124733129187925,370.41975573038644,12,249,6.15700168413577,23.636,201.0188123634326,144
C[C+]1C=C(C=C(C=CO)[N+](=Cc2cc[nH]c2OO)[B-](F)F)C2=CC=CC=[N+][B-](F)(F)[N+]C2=C1,4.377158986266454,0.6945783198699357,3.040279734484544,5.499557406696276e-12,4.112923317665443,6.628850805280689,-10.1640625,-64.59072463219898,1134.0890731636978,41,675,13.661417394931313,55.188,436.3759145060352,559
Cc1cc(C=C2C=CC=[N+]2B(F)F)n(C)c1,3.701396049685705,0.8451083349267642,3.1280806524543885,0.3209677040576935,3.996534635578071,4.50512085297071,0.6396484375,-6.059946413458176,498.08288254249265,19,327,6.742983275230544,26.326999999999998,214.75414985694218,228
NNc1ccc2n1[B][N+]1=C(N)C=CC1=C2,3.7257911831015615,0.7633904004732768,2.844233223347705,0.0022540285717695,3.2468631418247216,4.990903065136655,0.25146484375,-12.395501875927238,522.6050536599346,24,369,6.595512645341883,25.473999999999997,240.50233988877073,255
