Model,MoleculeID,SMILES,Canonical_SMILES,Energy_eV,OscillatorStrength_fL,Amplitude,Transition,Norm_SAScore,Norm_SCScore,Norm_RAScore,Norm_SYBA,Norm_Bertz,Norm_Barone,Norm_Bottcher,Norm_Spacial
MolDQN-MLP,mol000,[B]n1c(C=C2C=CC=N2)ccc1NN,[B]n1c(C=C2C=CC=N2)ccc1NN,3.462,1.284448,0.98,(,0.6389376272307881,0.5150428545578953,0.0001065137403202,0.5402921995123567,79.10865207455575,119.76223776223776,146.85639240194234,139.35437881873727
MolDQN-MLP,mol002,CNC12NOOC1C(C)=C(O)c1[nH]c3c(O)cn(B(F)F)c3c12,CNC12NOOC1C(C)=C(O)c1[nH]c3c(O)cn(B(F)F)c3c12,4.509,0.734425,0.95,(,0.4865340690655723,0.0953849136485707,2.7824755761685083e-06,0.4934684150162908,633.9093074772459,643.7132867132867,781.5692334999644,1000.0
MolDQN-MLP,mol011,Cc1ccc2c(NO)c3c(n12)=C=CC=C3,Cc1ccc2c(NO)c3c(n12)=C=CC=C3,3.296,0.324844,0.93,(,0.6372092599063028,0.465913777344334,0.0023681204766035,0.3907564056816804,390.6805120499306,308.3846153846154,256.9360505541349,145.4582484725051
MolDQN-MLP,mol014,C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,3.572,1.601728,0.97,(,0.5912043132379379,0.4838014231348784,0.0309263225644826,0.413859803566425,196.75618940941467,168.66433566433568,230.6787519111882,51.865580448065174
MolDQN-MLP,mol014,C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,4.618,0.261316,-0.94,(,0.5912043132379379,0.4838014231348784,0.0309263225644826,0.413859803566425,196.75618940941467,168.66433566433568,230.6787519111882,51.865580448065174
MolDQN-MLP,mol016,CC=CC(C)=Cc1cccn1B(F)CO,CC=CC(C)=Cc1cccn1B(F)CO,4.401,0.661221,-0.94,(,0.6432607979315222,0.5298699382804064,0.0257391277700662,0.6399997068809365,23.3480649392547,7.986013986013986,252.57373507198363,43.72708757637474
MolDQN-MLP,mol022,CSC(=C1C=CC=N1)c1cccn1B(F)F,CSC(=C1C=CC=N1)c1cccn1B(F)F,5.252,0.166222,0.94,(,0.6344607676963392,0.4167217755796162,6.184650555951521e-05,0.589539880955514,141.64414459221038,175.65034965034965,252.73930912399575,192.25458248472503
MolDQN-MLP,mol026,Nc1c(O)cn2c3c(cc12)C=CC=C=3,Nc1c(O)cn2c3c(cc12)C=CC=C=3,1.71,0.187609,0.93,(,0.6030791656923264,0.4271910461869007,0.0094182509928941,0.3937170100016843,371.5238218996756,287.42657342657344,224.80487643399968,125.11201629327904
MolDQN-MLP,mol026,Nc1c(O)cn2c3c(cc12)C=CC=C=3,Nc1c(O)cn2c3c(cc12)C=CC=C=3,2.983,0.422688,0.94,(,0.6030791656923264,0.4271910461869007,0.0094182509928941,0.3937170100016843,371.5238218996756,287.42657342657344,224.80487643399968,125.11201629327904
MolDQN-MLP,mol031,[B]n1c(C=CC=CC=N)ccc1NC,[B]n1c(C=CC=CC=N)ccc1NC,3.886,0.176824,0.93,(,0.61792924458779,0.5058453563243754,0.0003280421369709,0.5348970461811506,14.426887979497176,1.0,154.28191067628038,5.069246435845214
MolDQN-MLP,mol032,C=Cn1cccc1C=C1C=CC(O)=N1,C=Cn1cccc1C=C1C=CC(O)=N1,3.691,0.86333,0.96,(,0.6629537810769419,0.460895654907285,0.5310605764389038,0.5750228860077568,124.62080069042408,126.74825174825176,119.86074964772892,157.66598778004072
MolDQN-MLP,mol033,FBn1cccc1C=C1C=CC=N1,FBn1cccc1C=C1C=CC=N1,3.884,0.914946,-0.94,(,0.6266159162158433,0.5946616554205686,0.0767607614398002,0.5766646748273726,30.579107918348363,70.86013986013987,129.90373951228472,114.938900203666
MolDQN-MLP,mol035,C=C=C(N=N)C(=Cc1ccc(O)n1CN)N=CC,C=C=C(N=N)C(=Cc1ccc(O)n1CN)N=CC,3.823,0.736414,0.94,(,0.5891909599935723,0.4043136691898351,1.4255740552471252e-06,0.4088888435377338,248.9376210316365,203.59440559440557,214.5178184560743,88.4887983706721
MolDQN-MLP,mol037,Cn1cccc1C=C1C=CC(O)=N1,Cn1cccc1C=C1C=CC(O)=N1,3.824,1.38493,-0.98,(,0.7187199538567233,0.4296817614749364,0.9935530424118042,0.6801871662481443,74.36877753432212,84.83216783216784,77.49723407251184,143.42362525458248
MolDQN-MLP,mol040,NC1=NC(=Cc2cccn2B(F)F)C=C1,NC1=NC(=Cc2cccn2B(F)F)C=C1,3.629,1.074765,0.96,(,0.6403223274589054,0.424297127214098,0.2402879446744918,0.6222284294379427,137.49916547539362,154.6923076923077,172.75514344327448,186.1507128309572
MolDQN-MLP,mol041,C=CBn1cccc1C=C1C=CC(N)=N1,C=CBn1cccc1C=C1C=CC(N)=N1,3.353,0.675282,-0.95,(,0.6032174888866251,0.4359992450064682,0.9966365098953248,0.6084643125104647,145.49873627746703,154.6923076923077,198.84477335673375,173.9429735234216
MolDQN-MLP,mol041,C=CBn1cccc1C=C1C=CC(N)=N1,C=CBn1cccc1C=C1C=CC(N)=N1,4.321,0.257813,0.92,(,0.6032174888866251,0.4359992450064682,0.9966365098953248,0.6084643125104647,145.49873627746703,154.6923076923077,198.84477335673375,173.9429735234216
