SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA
[B]n1c(C=C2C=CC=N2)ccc1NN,3.67431838360968,0.7586223997910819,2.7874202297704644,0.00010651374032022431,2.9398285817684187,4.249561354922907,-0.392333984375,-31.999768730777163
C=c1c(CC)nc2c(C)c3c4c1c2n3BO4,4.8459571967283885,0.5247159997870525,2.542751275406599,0.3574422001838684,4.149001758275725,5.541565404428973,-8.265625,-1.8828315826748736
CNC12NOOC1C(C)=C(O)c1[nH]c3c(O)cn(B(F)F)c3c12,4.472252523390453,0.5758809585518072,2.5754850700558327,2.7824755761685083e-06,4.618460345405717,5.621193378409849,-10.109375,-44.620592463549194
C#CC1=C(C)C(=Cc2cccn2C=O)N=C1C,3.53116713319506,0.7577866690913836,2.6758713798688545,0.009926057420670986,3.0996746649197537,3.8060698551629777,-4.3203125,-5.484581471597613
Cn1cccc1C=Cc1occ[n+]1C,3.5969670492331183,0.7756933350582917,2.79014336651442,0.9094370007514954,1.8611446566794299,3.642192893384446,4.65234375,31.39003022729239
NC1=C(F)C2=Cc3cccn3[B][N+]2=C1,3.6128453331311534,0.7271803999185562,2.6271903141902015,0.7026719450950623,3.2965285234654633,4.9897490472306,2.052734375,-18.723932963478756
FBn1cccc1C=C1N=C2CCC3=CC1=C2C3,3.581251797993978,0.7226757339974245,2.588083771744894,1.3522057997761294e-06,3.7535896980009795,5.366360675632783,-7.26953125,-32.76888729401038
NNC1=[N+]2[B]n3cccc3C=C2C=C1,3.658038125969115,0.7333760675430299,2.682717615745704,0.9995409250259399,3.176583952942751,5.077293718900393,2.8828125,-7.354703930131654
NC1(O)C=CC=Cc2cccn2[B]N1,3.790307158311208,0.6915198671559494,2.6210727025956104,0.29673928022384644,2.641564761917121,5.38115211214624,0.92236328125,-36.91435310871988
N#COc1ccc(C=C2CC=C=N2)n1B(N)N,4.085441005071004,0.6714625563587461,2.7432206611178214,0.0006033708923496306,3.093400708037336,5.359032927994402,-3.130859375,-55.84001757435305
FB(F)[N+]1=CC=CC1=Cc1[nH]c2cc1ON2,3.569892315224238,0.8526426361818162,3.0438423945380015,0.0006665514665655792,3.163565264076178,5.913490613990272,-0.56103515625,-29.269465613195685
Cc1ccc2c(NO)c3c(n12)=C=CC=C3,4.19669929936438,0.6752723347246646,2.833914934019149,0.002368120476603508,3.136344890622664,4.265116660843274,-6.3125,-72.30545773025713
Cn1cccc1C=CC1=C2CCC(=C1)C2=N,3.562120065021515,0.7784183995564778,2.7728198000420647,0.43280020356178284,3.479308060050137,4.404798640746124,-3.486328125,-22.59157227194709
C#CC=Cc1ccn2cnccc12,4.345133745352427,0.6510488045771917,2.8288941306397133,0.9999901056289673,2.90157899050604,3.4356029079035633,-2.892578125,10.698963426579299
C#Cn1ccc(OO)c1C=CC=C(C=C)C=N,3.6964816069444018,0.7481337345282236,2.7654625892182043,0.03092632256448269,3.0647943074604864,4.67916118085856,-6.54296875,-66.07819704491124
C#Cn1cccc1C(C#N)=C1C=C(N)C=N1,3.582434695625305,0.924821539046367,3.313112768741298,0.0005108377663418651,2.823965978149528,4.278822321502179,-2.376953125,-14.235105698876009
CC=CC(C)=Cc1cccn1B(F)CO,3.97646238492784,0.6523584654370945,2.5940788992998547,0.02573912777006626,2.8805202468783744,4.2106528186163,-1.8251953125,-5.124733129187925
C[C+]1C=C(C=C(C=CO)[N+](=Cc2cc[nH]c2OO)[B-](F)F)C2=CC=CC=[N+][B-](F)(F)[N+]C2=C1,4.377158986266454,0.6945783198699357,3.0402797344845442,5.499557406696276e-12,4.112923317665443,6.628850805280689,-10.1640625,-64.59072463219898
Cc1cc(C=C2C=CC=[N+]2B(F)F)n(C)c1,3.701396049685705,0.8451083349267642,3.1280806524543885,0.3209677040576935,3.9965346355780706,4.50512085297071,0.6396484375,-6.059946413458176
NNc1ccc2n1[B][N+]1=C(N)C=CC1=C2,3.7257911831015615,0.7633904004732768,2.844233223347705,0.002254028571769595,3.2468631418247216,4.990903065136655,0.25146484375,-12.395501875927238
Cn1c2cc(c1N)N(N)C(C1C(N)=C(N)N3N=NNC=C3C1O)=C2,3.958282064169929,0.676087206453085,2.676143863117998,1.6654174705976743e-09,4.114222738376787,6.1064049499269855,-10.2421875,-65.24457357739186
CC(=C1C=CC=N1)c1cccn1C=N,3.786567034810687,0.8589236915795575,3.252372135953054,8.622326276963577e-05,3.05779155829756,3.9403767395382916,-1.1669921875,-38.831951773375074
CSC(=C1C=CC=N1)c1cccn1B(F)F,3.7447513676333046,0.7344587330510218,2.750365345063038,6.184650555951521e-05,3.333112897681535,4.289853090732947,-2.2265625,-18.725610876364122
[B]n1cc(F)c(F)c1C(O)=C(CC)N(CO)C12C=CC(OO1)N2N,4.308913205639521,0.6099860733320316,2.6283770466365883,1.2164846339146607e-05,3.5933533794554644,6.379437935403049,-4.5,-49.12984962244986
Nc1[n-]c(C=C2C=CC=N2)c(O)c1OO,3.716912309292384,0.8137849718748578,3.024767379078815,0.12792395055294037,2.8668346630634742,4.676589162759962,-1.73046875,-50.78504362279397
CCN=C1Cn2c3c1c(c2C(O)=NC=C=O)C#C3,4.785207133102417,0.7097066660687327,3.3960934008824344,0.015980971977114677,3.8328000109585205,6.255110545117805,-9.609375,-62.32230956514265
Nc1c(O)cn2c3c(cc12)C=CC=C=3,3.8428987200231264,0.694802081144743,2.670054028300537,0.009418250992894173,3.291235815252397,4.572287508769062,-7.4765625,-71.507460181204
