SMILES,ExcitationEnergy,OscillatorStrength,score,RAscore,SCScore,SAscore,FSScore,SYBA
NN[SH](NP1PSN[PH]1OO)SS[S](ON)ON(F)N1ONN[PH]1C1=CC=C1,2.5957944096584518,0.914023573076394,2.372617281287747,1.5492655769389074e-10,4.515810391411431,2.564159735847019,-3.6484375,-105.18373568605111
OOON[SH](NP1PPN[PH]1OO)[S](O)ON(F)N1ONN[PH]1C1=CC=C1,2.619081832320762,0.904393316840132,2.3686801054083046,4.06166051902801e-08,4.009634995994773,1.0,-5.7578125,-107.15314285669054
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)S[S](NCl)NP1PPN[PH]1OO,2.620136122029581,0.8979018358349801,2.3526250341079065,1.3681253907549262e-09,4.119079077633469,1.0,-5.53125,-102.08766996985392
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SN[SH](NNP1PN[PH]1OO)ON,2.557025767397158,0.9167537473513022,2.344162954335184,2.18960377607047e-10,4.233433118702099,1.0,-4.56640625,-106.42921772267287
OO[PH]1NPPP1SS[S](OBr)ON(F)N1ONN[PH]1C1=CC=C1,2.549172954908044,0.9149700955566434,2.332417022142624,2.9655641831105584e-10,4.2679116761421385,1.0,-4.4453125,-97.67195117848085
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SNON[SH](F)N1PP[PH]1OO,2.506561523644129,0.928763369959593,2.328002527710773,9.568553588357176e-11,4.372462390564112,1.0,-4.12109375,-101.28378415486732
OOON(SOOSN(S)N1ON[PH]1C1=CC=C1)S[SH](F)P1PPN[PH]1OO,2.51317174781597,0.923454029677974,2.3207985777934943,1.2397280424458756e-10,3.91030048586221,3.0946928659182653,-8.53125,-106.95689346913989
OO[PH]1NPPP1[SH](F)SN(O)SOOSN(S)N1ONN[PH]1C1=CC=C1,2.4768725504282747,0.9272425297237106,2.2966615694623322,3.375250356985049e-10,3.8355184171884735,4.807867833759117,-6.53515625,-108.79845288891232
OO[PH]1NPPP1SSNO[S](ON(F)N1ONN[PH]1C1=CC=C1)SCl,2.491792554663649,0.9209081394016744,2.294712045290246,4.692725652510887e-10,4.52039454743778,1.5408638217951625,-4.796875,-104.95936636448077
OOOOOON[SH](NN=CON(F)N1ONN[PH]1C1=CC=C1)NNP1PPN[PH]1OO,2.517297444279266,0.9109114831020436,2.29303514837741,1.927810977520039e-08,4.43855389504864,3.165479558576962,-7.77734375,-119.06508695409234
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SNONN[SH](NP1PN[PH]1OO)OOO,2.514178463157018,0.9103772484037612,2.288850871284883,4.33733639282341e-11,4.530231401275207,2.9469047788163465,-5.69921875,-120.54273237131862
CO[S](ON(F)N1ONN[PH]1C1=CC=C1)[SH](N)NP1PPN[PH]1OO,2.5305090345454944,0.902104435624679,2.2827834244518144,1.8618567310113576e-06,3.656591683643187,1.0249247101642478,-3.666015625,-97.62843515607453
OOOOO[SH](N=CON(F)N1ONN[PH]1C1=CC=C1)NP1PPN[PH]1OO,2.5752857386668526,0.8854904830435911,2.2803910127073825,5.095342658023583e-06,4.000220067308669,2.492248539512719,-7.69140625,-112.14656176565077
CO[S](ON(F)N1ONN[PH]1C1=CC=C1)S[SH](F)P1PPN[PH]1OO,2.5119066903104685,0.9063163566641133,2.276582119842395,1.0415025286647506e-08,3.649189777894493,3.7515628592402477,-5.46484375,-95.08036817071249
OOONS(=CON(F)N1ONN[PH]1C1=CC=C1)OOP1PPN[PH]1OO,2.496888019089506,0.8966030407150588,2.238717390240651,2.6728170458151235e-12,4.425124508848407,3.2883777115167074,-7.1484375,-106.12863956667603
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SNON[SH](NOOO)NP1PN[PH]1OO,2.418884434039665,0.9242123809986644,2.2355629421444054,5.1832145346597525e-12,4.2443738075954665,2.7559220474688697,-6.51953125,-119.89179131554782
OOO[SH](NN=CON(F)N1ON[PH]1C1=CC=C1)NP1PPN[PH]1OO,2.5325110699733093,0.8826773802342741,2.235390236658339,1.3131150353729026e-06,4.081100871747315,1.0209007395654597,-5.40625,-98.82360299023995
NO[S](ON(F)N1ONN[PH]1C1=CC=C1)SN[SH](O)NP1PSN[PH]1OOO,2.4196058156321745,0.9225226841410002,2.2321412516001677,1.678721744946543e-10,4.9203317446026436,1.0,-6.13671875,-117.41976441129167
NO[S](ON(F)N1ON[PH]1C1=CC=C1)SNON[SH](NOOO)NP1PN[PH]1OF,2.4500671040607216,0.91041442902987,2.230576443628309,3.963056879191518e-12,4.4817760702244485,1.0,-7.609375,-122.5129434803164
NO[S](ON(F)N1ON[PH]1C1=CC=C1)SNON[SH](NP1PN[PH]1OO)ON,2.4033921003413927,0.9226621572915052,2.2175189401183513,2.3756615164655104e-12,4.355947755506156,1.0,-5.90625,-105.88712647899382
